Prize,Year,Winner,Citation,Wikipedia_URL,OpenAlex_URL,Subfield,Subfield_ID,Field,Domain,Verified,Corrected_OpenAlex_URL,Best_Subfield,Best_Subfield_ID,Best_Field,Verification_Notes,laureate_type,n_winners,plotFinestField
A. M. Turing Award,2020,Alfred Aho,For the algorithms and theory underlying programming language implementation,https://en.wikipedia.org/wiki/Alfred_Aho,https://openalex.org/authors/A5047516262,Artificial Intelligence,1702.0,Computer Science,Physical Sciences,Yes,,Computational Theory and Mathematics,1703,Computer Science,"Profile correct (Alfred V. Aho, Columbia). Subfield changed from AI to Computational Theory and Mathematics - better represents his work on algorithms and programming language theory.",individual,1.0,"Computing, electrical"
A. M. Turing Award,2020,Jeffrey Ullman,For the algorithms and theory underlying programming language implementation,https://en.wikipedia.org/wiki/Jeffrey_Ullman,https://openalex.org/authors/A5089065417,Computer Networks and Communications,1705.0,Computer Science,Physical Sciences,Yes,,Computer Networks and Communications,1705,Computer Science,Profile correct (Jeffrey D. Ullman). Computer Networks and Communications is plausible (databases/data management is his top topic).,individual,1.0,"Computing, electrical"
A. M. Turing Award,2021,Jack Dongarra,For pioneering contributions to numerical algorithms and libraries for high performance computing,https://en.wikipedia.org/wiki/Jack_Dongarra,https://openalex.org/authors/A5075517045,Hardware and Architecture,1708.0,Computer Science,Physical Sciences,Yes,,Hardware and Architecture,1708,Computer Science,"Profile correct (Jack Dongarra, UT/ORNL). Hardware and Architecture correct for HPC work.",individual,1.0,"Computing, electrical"
A. M. Turing Award,2022,Robert Metcalfe,"For the invention, standardization, and commercialization of Ethernet",https://en.wikipedia.org/wiki/Robert_Metcalfe,https://openalex.org/authors/A5039241368,Safety Research,3311.0,Social Sciences,Social Sciences,Yes,https://openalex.org/authors/A5039241368,Computer Networks and Communications,1705,Computer Science,Wrong person. Original profile is behavioral economist Robert Metcalfe at Columbia. Corrected to Robert M. Metcalfe at MIT (inventor of Ethernet).,individual,1.0,"Computing, electrical"
A. M. Turing Award,2023,Avi Wigderson,For foundational contributions to the theory of computation,https://en.wikipedia.org/wiki/Avi_Wigderson,https://openalex.org/authors/A5039043184,Computational Theory and Mathematics,1703.0,Computer Science,Physical Sciences,Yes,,Computational Theory and Mathematics,1703,Computer Science,"Profile correct (Avi Wigderson, IAS). Computational Theory and Mathematics correct.",individual,1.0,"Computing, electrical"
A. M. Turing Award,2024,Andrew Barto,For developing the conceptual and algorithmic foundations of reinforcement learning,https://en.wikipedia.org/wiki/Andrew_Barto,https://openalex.org/authors/A5089808068,Artificial Intelligence,1702.0,Computer Science,Physical Sciences,Yes,,Artificial Intelligence,1702,Computer Science,"Profile correct (Andrew G. Barto, UMass Amherst). Artificial Intelligence correct for RL pioneer.",individual,1.0,"Computing, electrical"
A. M. Turing Award,2024,Richard Sutton,For developing the conceptual and algorithmic foundations of reinforcement learning,https://en.wikipedia.org/wiki/Richard_Sutton,https://openalex.org/authors/A5004923102,Artificial Intelligence,1702.0,Computer Science,Physical Sciences,Yes,,Artificial Intelligence,1702,Computer Science,"Profile correct (Richard S. Sutton, U Alberta). Artificial Intelligence correct for RL pioneer.",individual,1.0,"Computing, electrical"
Abel Prize,2015,John Nash,For striking contributions to the theory of nonlinear partial differential equations and geometric analysis,https://en.wikipedia.org/wiki/John_Forbes_Nash_Jr.,https://openalex.org/authors/A5112787212,Computational Mechanics,2206.0,Engineering,Physical Sciences,Yes,,Applied Mathematics,2604,Mathematics,Profile correct. Assigned Applied Mathematics.,individual,1.0,Math
Abel Prize,2015,Louis Nirenberg,For striking contributions to the theory of nonlinear partial differential equations and geometric analysis,https://en.wikipedia.org/wiki/Louis_Nirenberg,https://openalex.org/authors/A5062156030,Computational Theory and Mathematics,1703.0,Computer Science,Physical Sciences,Yes,,Applied Mathematics,2604,Mathematics,Profile correct. Changed to Applied Mathematics - PDE mathematician.,individual,1.0,Math
Abel Prize,2016,Andrew Wiles,For his stunning proof of Fermat's Last Theorem,https://en.wikipedia.org/wiki/Andrew_Wiles,https://openalex.org/authors/A5108430356,Geometry and Topology,2608.0,Mathematics,Physical Sciences,Yes,,Geometry and Topology,2608,Mathematics,Profile correct. Existing subfield correct.,individual,1.0,Math
Abel Prize,2017,Yves Meyer,For his pivotal role in the development of the mathematical theory of wavelets,https://en.wikipedia.org/wiki/Yves_Meyer,https://openalex.org/authors/A5015773159,Computer Vision and Pattern Recognition,1707.0,Computer Science,Physical Sciences,Yes,,Applied Mathematics,2604,Mathematics,Profile correct. Changed to Applied Mathematics.,individual,1.0,Math
Abel Prize,2018,Robert Langlands,For his visionary program connecting representation theory to number theory,https://en.wikipedia.org/wiki/Robert_Langlands,https://openalex.org/authors/A5038965296,Mathematical Physics,2610.0,Mathematics,Physical Sciences,Yes,,Mathematical Physics,2610,Mathematics,Profile correct. Existing subfield correct.,individual,1.0,Math
Abel Prize,2019,Karen Uhlenbeck,"For her pioneering achievements in geometric partial differential equations, gauge theory and integrable systems",https://en.wikipedia.org/wiki/Karen_Uhlenbeck,https://openalex.org/authors/A5077518717,Applied Mathematics,2604.0,Mathematics,Physical Sciences,Yes,,Applied Mathematics,2604,Mathematics,Profile correct. Existing subfield correct.,individual,1.0,Math
Abel Prize,2020,Gregory Margulis,"For pioneering the use of methods from probability and dynamics in group theory, number theory and combinatorics",https://en.wikipedia.org/wiki/Gregory_Margulis,https://openalex.org/authors/A5109905437,Mathematical Physics,2610.0,Mathematics,Physical Sciences,Yes,,Mathematical Physics,2610,Mathematics,Profile correct. Existing subfield correct.,individual,1.0,Math
Abel Prize,2020,Hillel Furstenberg,"For pioneering the use of methods from probability and dynamics in group theory, number theory and combinatorics",https://en.wikipedia.org/wiki/Hillel_Furstenberg,https://openalex.org/authors/A5110887809,Mathematical Physics,2610.0,Mathematics,Physical Sciences,Yes,,Mathematical Physics,2610,Mathematics,Profile correct. Existing subfield correct.,individual,1.0,Math
Abel Prize,2021,Avi Wigderson,For foundational contributions to theoretical computer science and discrete mathematics,https://en.wikipedia.org/wiki/Avi_Wigderson,https://openalex.org/authors/A5039043184,Computational Theory and Mathematics,1703.0,Computer Science,Physical Sciences,Yes,,Discrete Mathematics and Combinatorics,2607,Mathematics,Profile correct. Assigned Discrete Math - all topics CS.,individual,1.0,Math
Abel Prize,2021,Laszlo Lovasz,For foundational contributions to theoretical computer science and discrete mathematics,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Lov%C3%A1sz,https://openalex.org/authors/A5067889485,Computational Theory and Mathematics,1703.0,Computer Science,Physical Sciences,Yes,,Discrete Mathematics and Combinatorics,2607,Mathematics,Profile correct. Changed to Discrete Math.,individual,1.0,Math
Abel Prize,2022,Dennis Sullivan,For his groundbreaking contributions to topology in its broadest sense,https://en.wikipedia.org/wiki/Dennis_Sullivan,https://openalex.org/authors/A5113531422,Mathematical Physics,2610.0,Mathematics,Physical Sciences,Yes,,Mathematical Physics,2610,Mathematics,Profile correct. Existing subfield correct.,individual,1.0,Math
Abel Prize,2023,Luis Caffarelli,For his seminal contributions to regularity theory for nonlinear partial differential equations,https://en.wikipedia.org/wiki/Luis_Caffarelli,https://openalex.org/authors/A5070686513,Computational Theory and Mathematics,1703.0,Computer Science,Physical Sciences,Yes,,Applied Mathematics,2604,Mathematics,Profile correct. Changed to Applied Mathematics.,individual,1.0,Math
Abel Prize,2024,Michel Talagrand,For his groundbreaking contributions to probability theory and functional analysis,https://en.wikipedia.org/wiki/Michel_Talagrand,https://openalex.org/authors/A5077443351,Mathematical Physics,2610.0,Mathematics,Physical Sciences,Yes,,Mathematical Physics,2610,Mathematics,Profile correct. Existing subfield correct.,individual,1.0,Math
Albert Einstein World Award of Science,2015,Ewine Fleur van Dishoeck,Molecular astrophysics: pioneering understanding of the chemical processes in space,https://en.wikipedia.org/wiki/Ewine_Fleur_van_Dishoeck,https://openalex.org/authors/A5104142705,Spectroscopy,1607.0,Chemistry,Physical Sciences,Yes,,Astronomy and Astrophysics,3103,Physics and Astronomy,Profile correct. Changed subfield from Spectroscopy to Astronomy and Astrophysics (her #2 topic) to better match molecular astrophysics prize citation.,individual,1.0,Physics & Astronomy
Albert Einstein World Award of Science,2016,Edward Witten,"Contributions to physics and mathematics, including superstring theory",https://en.wikipedia.org/wiki/Edward_Witten,https://openalex.org/authors/A5032512426,Nuclear and High Energy Physics,3106.0,Physics and Astronomy,Physical Sciences,Yes,,Nuclear and High Energy Physics,3106,Physics and Astronomy,,individual,1.0,Physics & Astronomy
Albert Einstein World Award of Science,2017,Omar M. Yaghi,Reticular chemistry: invention of metal-organic frameworks and covalent organic frameworks,https://en.wikipedia.org/wiki/Omar_M._Yaghi,https://openalex.org/authors/A5044268160,Inorganic Chemistry,1604.0,Chemistry,Physical Sciences,Yes,,Inorganic Chemistry,1604,Chemistry,,individual,1.0,Chemistry
Albert Einstein World Award of Science,2018,Jean-Pierre Changeux,Neurosciences: pioneering work on nicotinic acetylcholine receptors and neural signal transduction,https://en.wikipedia.org/wiki/Jean-Pierre_Changeux,https://openalex.org/authors/A5056074308,Molecular Biology,1312.0,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Yes,,Cellular and Molecular Neuroscience,https://openalex.org/subfields/2804,Neuroscience,"Reclassified: neuroscience pioneer (nicotinic receptors), not general biochemistry",individual,1.0,Life Sciences & Medicine
Albert Einstein World Award of Science,2019,Zhong Lin Wang,Nanotechnology: pioneering contributions to nanogenerators and self-powered nanosystems,https://en.wikipedia.org/wiki/Zhong_Lin_Wang,https://openalex.org/authors/A5100376569,Biomedical Engineering,2204.0,Engineering,Physical Sciences,Yes,,"Electronic, Optical and Magnetic Materials",https://openalex.org/subfields/2504,Materials Science,Reclassified: nanogenerator/piezoelectric researcher -> materials science not biomedical eng,individual,1.0,Materials and mining engineering
Albert Einstein World Award of Science,2022,Victoria M. Kaspi,"Astrophysics: transformative research on neutron stars, pulsars, and magnetars",https://en.wikipedia.org/wiki/Victoria_M._Kaspi,https://openalex.org/authors/A5066105866,Astronomy and Astrophysics,3103.0,Physics and Astronomy,Physical Sciences,Yes,https://openalex.org/authors/A5066105866,Astronomy and Astrophysics,3103,Physics and Astronomy,"Wrong profile: A5013125693 is Kiyoshi W. Masui. Corrected to A5066105866 (V. M. Kaspi, McGill University, pulsar research).",individual,1.0,Physics & Astronomy
Albert Einstein World Award of Science,2023,Christoph Gerber,Nanoscale science: co-invention of atomic force microscopy and contributions to nanomechanics,https://en.wikipedia.org/wiki/Christoph_Gerber,https://openalex.org/authors/A5004070941,"Atomic and Molecular Physics, and Optics",3107.0,Physics and Astronomy,Physical Sciences,Yes,,"Atomic and Molecular Physics, and Optics",3107,Physics and Astronomy,,individual,1.0,Physics & Astronomy
Albert Einstein World Award of Science,2024,Eske Willerslev,Evolutionary biology: pioneering use of ancient environmental DNA to reshape understanding of past ecosystems,https://en.wikipedia.org/wiki/Eske_Willerslev,https://openalex.org/authors/A5028667558,Genetics,1311.0,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Yes,,Genetics,1311,"Biochemistry, Genetics and Molecular Biology",,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2015,Evelyn Witkin,For discoveries concerning the DNA-damage response,https://en.wikipedia.org/wiki/Evelyn_M._Witkin,https://openalex.org/authors/A5039213904,Molecular Biology,1312.0,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Yes,,Molecular Biology,1312.0,"Biochemistry, Genetics and Molecular Biology",,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2015,Stephen Elledge,For discoveries concerning the DNA-damage response,https://en.wikipedia.org/wiki/Stephen_J._Elledge,https://openalex.org/authors/A5025914907,Molecular Biology,1312.0,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Yes,,Molecular Biology,1312.0,"Biochemistry, Genetics and Molecular Biology",,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2016,Gregg Semenza,For discoveries concerning how human cells sense and adapt to changes in oxygen availability,https://en.wikipedia.org/wiki/Gregg_Semenza,https://openalex.org/authors/A5051276665,Cancer Research,1306.0,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Yes,,Cancer Research,1306.0,"Biochemistry, Genetics and Molecular Biology",,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2016,Peter Ratcliffe,For discoveries concerning how human cells sense and adapt to changes in oxygen availability,https://en.wikipedia.org/wiki/Peter_Ratcliffe,https://openalex.org/authors/A5064727417,Cancer Research,1306.0,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Yes,,Cancer Research,1306.0,"Biochemistry, Genetics and Molecular Biology",,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2016,William Kaelin Jr.,For discoveries concerning how human cells sense and adapt to changes in oxygen availability,https://en.wikipedia.org/wiki/William_Kaelin_Jr.,https://openalex.org/authors/A5088456751,Oncology,2730.0,Medicine,Health Sciences,Yes,https://openalex.org/authors/A5088456751,Oncology,2730.0,Medicine,"No original OpenAlex URL. Found A5088456751 (William G. Kaelin, Dana-Farber/Harvard, 490 works).",individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2017,Michael Hall,For discoveries concerning the nutrient-activated TOR proteins and cell growth,https://en.wikipedia.org/wiki/Michael_N._Hall,https://openalex.org/authors/A5003476561,Sociology and Political Science,3312.0,Social Sciences,Social Sciences,Yes,https://openalex.org/authors/A5003476561,Molecular Biology,1312.0,"Biochemistry, Genetics and Molecular Biology","Wrong profile: A5051839223 is C. Michael Hall (tourism). Corrected to A5003476561 (Michael N. Hall, Basel, mTOR).",individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2018,C. David Allis,For discoveries on how gene expression is influenced by chemical modification of histones,https://en.wikipedia.org/wiki/C._David_Allis,https://openalex.org/authors/A5052967210,Molecular Biology,1312.0,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Yes,,Molecular Biology,1312.0,"Biochemistry, Genetics and Molecular Biology",,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2018,Michael Grunstein,For discoveries on how gene expression is influenced by chemical modification of histones,https://en.wikipedia.org/wiki/Michael_Grunstein,https://openalex.org/authors/A5001625476,Molecular Biology,1312.0,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Yes,,Molecular Biology,1312.0,"Biochemistry, Genetics and Molecular Biology",,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2019,Jacques Miller,"For discovery of the two distinct classes of lymphocytes, B and T cells",https://en.wikipedia.org/wiki/Jacques_Miller,https://openalex.org/authors/A5075643780,Immunology,2403.0,Immunology and Microbiology,Life Sciences,Yes,,Immunology,2403.0,Immunology and Microbiology,,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2019,Max Cooper,"For discovery of the two distinct classes of lymphocytes, B and T cells",https://en.wikipedia.org/wiki/Max_D._Cooper,https://openalex.org/authors/A5031308976,Immunology,2403.0,Immunology and Microbiology,Life Sciences,Yes,,Immunology,2403.0,Immunology and Microbiology,,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2021,Dieter Oesterhelt,For the discovery and development of optogenetics,https://en.wikipedia.org/wiki/Dieter_Oesterhelt,https://openalex.org/authors/A5077404586,Cellular and Molecular Neuroscience,2804.0,Neuroscience,Life Sciences,Yes,,Molecular Biology,1312.0,"Biochemistry, Genetics and Molecular Biology",Changed from Cellular and Molecular Neuroscience to Molecular Biology (bacteriorhodopsin discoverer).,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2021,Karl Deisseroth,For the discovery and development of optogenetics,https://en.wikipedia.org/wiki/Karl_Deisseroth,https://openalex.org/authors/A5014360828,Cellular and Molecular Neuroscience,2804.0,Neuroscience,Life Sciences,Yes,,Cellular and Molecular Neuroscience,2804.0,Neuroscience,,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2021,Peter Hegemann,For the discovery and development of optogenetics,https://en.wikipedia.org/wiki/Peter_Hegemann,https://openalex.org/authors/A5032787107,Cellular and Molecular Neuroscience,2804.0,Neuroscience,Life Sciences,Yes,,Cellular and Molecular Neuroscience,2804.0,Neuroscience,,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2022,Erkki Ruoslahti,For discoveries concerning integrins,https://en.wikipedia.org/wiki/Erkki_Ruoslahti,https://openalex.org/authors/A5088477154,Immunology and Allergy,2723.0,Medicine,Health Sciences,Yes,,Immunology and Allergy,2723.0,Medicine,,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2022,Richard Hynes,For discoveries concerning integrins,https://en.wikipedia.org/wiki/Richard_Hynes,https://openalex.org/authors/A5030647867,Immunology and Allergy,2723.0,Medicine,Health Sciences,Yes,,Immunology and Allergy,2723.0,Medicine,,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2022,Timothy Springer,For discoveries concerning integrins,https://en.wikipedia.org/wiki/Timothy_Springer,https://openalex.org/authors/A5003615852,Immunology and Allergy,2723.0,Medicine,Health Sciences,Yes,,Immunology and Allergy,2723.0,Medicine,,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2023,Demis Hassabis,For the invention of AlphaFold,https://en.wikipedia.org/wiki/Demis_Hassabis,https://openalex.org/authors/A5005349213,Cognitive Neuroscience,2805.0,Neuroscience,Life Sciences,Yes,,Artificial Intelligence,1702.0,Computer Science,"Changed from Cognitive Neuroscience to Artificial Intelligence (DeepMind founder, AlphaFold).",individual,1.0,"Computing, electrical"
Albert Lasker Basic Medical Research Award,2023,John Jumper,For the invention of AlphaFold,https://en.wikipedia.org/wiki/John_Jumper,https://openalex.org/authors/A5059179935,Molecular Biology,1312.0,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Yes,,Molecular Biology,1312.0,"Biochemistry, Genetics and Molecular Biology",,individual,1.0,Life Sciences & Medicine
Albert Lasker Basic Medical Research Award,2024,Zhijian Chen,For the discovery of the cGAS enzyme that senses foreign and self-DNA,https://en.wikipedia.org/wiki/Zhijian_%22James%22_Chen,https://openalex.org/authors/A5000591490,Immunology,2403.0,Immunology and Microbiology,Life Sciences,Yes,,Immunology,2403.0,Immunology and Microbiology,,individual,1.0,Life Sciences & Medicine
Arthur L. Day Prize and Lectureship,2017,Susan Solomon,"For research on atmospheric chemistry, stratospheric ozone depletion, and leadership in communicating climate change science",https://en.wikipedia.org/wiki/Susan_Solomon,https://openalex.org/authors/A5019124017,Atmospheric Science,1902.0,Earth and Planetary Sciences,Physical Sciences,Yes,,Atmospheric Science,1902.0,Earth and Planetary Sciences,,individual,1.0,Earth Sciences
Arthur L. Day Prize and Lectureship,2020,Linda T. Elkins-Tanton,"For work combining geodynamic modeling, petrology, geochemistry and field investigations to provide fundamental insights into planetary chemical differentiation",https://en.wikipedia.org/wiki/Linda_T._Elkins-Tanton,https://openalex.org/authors/A5033726538,Astronomy and Astrophysics,3103.0,Physics and Astronomy,Physical Sciences,Yes,,Geophysics,1908.0,Earth and Planetary Sciences,Changed from Astronomy and Astrophysics to Geophysics (her #5 topic) to better match geodynamic/petrology prize citation and NAS Earth sciences context.,individual,1.0,Earth Sciences
Arthur L. Day Prize and Lectureship,2023,Jerry X. Mitrovica,"For enhancing comprehension of the connection between sea level rise and ice sheet melting, and their effects on historical and contemporary human communities",https://en.wikipedia.org/wiki/Jerry_X._Mitrovica,https://openalex.org/authors/A5036784791,Atmospheric Science,1902.0,Earth and Planetary Sciences,Physical Sciences,Yes,,Geophysics,1908.0,Earth and Planetary Sciences,Changed from Atmospheric Science to Geophysics (his #3 topic) to better match sea level/ice sheet/geodynamics research.,individual,1.0,Earth Sciences
Balzan Prize,2015,David Karl,Oceanography,https://en.wikipedia.org/wiki/David_Karl,https://openalex.org/authors/A5050834581,Cognitive Neuroscience,2805.0,Neuroscience,Life Sciences,Yes,https://openalex.org/authors/A5050834581,Oceanography,1910,Earth and Planetary Sciences,Wrong: A5086852785=Karl Friston. Corrected to A5050834581 David M Karl U Hawaii,individual,1.0,Earth Sciences
Balzan Prize,2015,Francis Halzen,Astroparticle physics including neutrino and gamma-ray observation,https://en.wikipedia.org/wiki/Francis_Halzen,https://openalex.org/authors/A5023747159,Nuclear and High Energy Physics,3106.0,Physics and Astronomy,Physical Sciences,Yes,,Nuclear and High Energy Physics,3106,Physics and Astronomy,,individual,1.0,Physics & Astronomy
Balzan Prize,2015,Hans Belting,History of European art (since 1900),https://en.wikipedia.org/wiki/Hans_Belting,https://openalex.org/authors/A5009154018,History,1202.0,Arts and Humanities,Social Sciences,Yes,,History,1202,Arts and Humanities,,individual,1.0,Other Social Sciences
Balzan Prize,2015,Joel Mokyr,Economic history,https://en.wikipedia.org/wiki/Joel_Mokyr,https://openalex.org/authors/A5110900731,Economics and Econometrics,2002.0,"Economics, Econometrics and Finance",Social Sciences,Yes,,Economics and Econometrics,2002,"Economics, Econometrics and Finance",,individual,1.0,Business & Econ
Balzan Prize,2016,Federico Capasso,Applied photonics,https://en.wikipedia.org/wiki/Federico_Capasso,https://openalex.org/authors/A5066671589,Spectroscopy,1607.0,Chemistry,Physical Sciences,Yes,,"Atomic and Molecular Physics, and Optics",https://openalex.org/subfields/3107,Physics and Astronomy,"Reclassified: photonics/quantum cascade laser physicist, not electronic materials",individual,1.0,Physics & Astronomy
Balzan Prize,2016,Piero Boitani,,,https://openalex.org/authors/A5009204730,Classics,1205.0,Arts and Humanities,Social Sciences,Yes,,Classics,1205,Arts and Humanities,"2026-09-11 coverage audit: added, add colaureate; id from the snapshot name scan, largest field-consistent profile (153 works). Source: https://www.balzan.org/en/prizewinners/piero-boitani",individual,1.0,Other Social Sciences
Balzan Prize,2016,Reinhard Jahn,Molecular and cellular neuroscience,https://en.wikipedia.org/wiki/Reinhard_Jahn,https://openalex.org/authors/A5077214003,Cell Biology,1307.0,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Yes,,Cell Biology,1307,"Biochemistry, Genetics and Molecular Biology",,individual,1.0,Life Sciences & Medicine
Balzan Prize,2016,Robert O. Keohane,International relations: history and theory,https://en.wikipedia.org/wiki/Robert_O._Keohane,https://openalex.org/authors/A5017194047,Political Science and International Relations,3320.0,Social Sciences,Social Sciences,Yes,,Political Science and International Relations,3320,Social Sciences,,individual,1.0,Other Social Sciences
Balzan Prize,2017,Aleida Assmann,Collective memory,https://en.wikipedia.org/wiki/Aleida_Assmann,https://openalex.org/authors/A5023553870,Philosophy,1211.0,Arts and Humanities,Social Sciences,Yes,,Philosophy,1211,Arts and Humanities,,individual,1.0,Other Social Sciences
Balzan Prize,2017,Bina Agarwal,Gender studies,https://en.wikipedia.org/wiki/Bina_Agarwal,https://openalex.org/authors/A5072160473,Soil Science,1111.0,Agricultural and Biological Sciences,Life Sciences,Yes,,Development,https://openalex.org/subfields/3303,Social Sciences,"Reclassified: development economist/gender studies, not agricultural science",individual,1.0,Other Social Sciences
Balzan Prize,2017,James P. Allison,Immunological approaches in cancer therapy,https://en.wikipedia.org/wiki/James_P._Allison,https://openalex.org/authors/A5047117233,Oncology,2730.0,Medicine,Health Sciences,Yes,,Oncology,2730,Medicine,,individual,1.0,Life Sciences & Medicine
