Award Name,Tier,Field,stage_code,recipient_bin,age_cap,years_since_phd_cap,student_or_dissertation,recent_work_only,typical_recipient,confidence,events_prior,events_corrected,rule_text,source_url
ICTP Prize,2,Physics,faculty,faculty,,12,N,N,"faculty at developing-country institutions (Tagliazucchi, UBA and Laha, TIFR 2024; Jolly, IISc 2023)",high,1.0,1.0,"For 'outstanding and original contributions in physics by young scientists from, and working in, developing countries'; candidates must have obtained their PhD less than 12 years before the award year (extended by one year per child for women).",https://www.ictp.it/prize/ictp-prize
Richard Lounsbery Award,3,Life Sciences and Medicine,faculty,faculty,45,,N,N,associate professors and independent group leaders,high,1.0,1.0,NAS: for 'young (no older than 45) French and American scientists' in biology and medicine.,https://www.nasonline.org/award/richard-lounsbery-award/
Levi L. Conant Prize,3,Mathematics,faculty,faculty,,,N,Y,full professors (Hom: Georgia Tech; Greene: Boston College; Bauer: Ljubljana),medium,1.0,1.0,"For ""outstanding expository papers published in the Bulletin of the American Mathematical Society or the Notices of the American Mathematical Society in the previous five years""; no age restriction.",https://en.wikipedia.org/wiki/Levi_L._Conant_Prize
Beilby Medal and Prize,3,Chemistry,faculty,faculty,39,,N,N,"assistant and associate professors (Vogt, Technion 2023; Hoye, Oxford 2024)",high,1.0,1.0,"Joint IOM3/RSC/SCI award for 'work of exceptional practical significance' by an early-career scientist; historically 'nominees should be no older than 39 years of age', and from 2026 IOM3 defines early career as 'within 10 years of the start of their first employment ... or within 6 years of completing their PhD ..., whichever is sooner'.",https://www.iom3.org/award/beilby-medal-prize.html
European Prize in Combinatorics,3,Mathematics,postdoc,faculty,35,,N,N,tenure-track assistant professors,medium,1.5,1.5,Eurocomb: 'Recipients must not be older than 35'.,https://en.wikipedia.org/wiki/European_Prize_in_Combinatorics
Amelia Earhart Fellowship,3,Computer Science and Engineering,student,student,,,Y,N,PhD students,high,35.0,35.0,"For ""women pursuing Ph.D./doctoral degrees"" in aerospace engineering or space sciences, registered full-time and with at least one year of the doctoral program completed; ""post-doctoral research programs are not eligible"".",https://www.zonta.org/Web/Web/Programs/Education/Amelia_Earhart_Fellowship.aspx
Colworth Medal,3,Life Sciences and Medicine,faculty,faculty,,10,N,N,"independent group leaders and lecturers to readers, about 7-11 years post-PhD",high,1.0,1.0,Biochemical Society medal for an early-career biochemist 'within 10 years of receiving their highest qualification' (career breaks extend the window; before 2019 the rule was 'under 35').,https://www.biochemistry.org/grants-and-awards/awards/awards-listing/the-colworth-medal/
Germán Bernácer Prize,3,Social Sciences,faculty,faculty,40,,N,N,"full professors (Stanford GSB, Chicago Booth, Minnesota)",medium,1.0,1.0,For young economists from the European Union: 'Prizewinners are economists under the age of 40'.,https://en.wikipedia.org/wiki/Germ%C3%A1n_Bern%C3%A1cer_Prize
Bunsen–Kirchhoff Award,3,Chemistry,postdoc,mixed,,,N,N,postdocs and junior group leaders (Abad Andrade: Caltech postdoc; Ivleva: TUM group leader; Meermann: BAM division head),high,1.0,1.0,"GDCh/DAAS prize for ""herausragender spektroskopischer Leistungen des reiferen wissenschaftlichen Nachwuchses"" (outstanding spectroscopic achievements of advanced junior scientists) from universities, research institutes or industry; no numeric age cap.",https://www.gdch.de/index.php?id=694
Stockholm Junior Water Prize,3,Multidisciplinary,nonresearcher,nonresearcher,20,,Y,N,secondary-school pupils,high,1.0,1.0,"'Open to pre-university young people ages 15-20 who have conducted water-related projects' on topics of environmental, scientific, social or technological importance.",https://stockholmwaterfoundation.org/stockholm-junior-water-prize/
James B. Macelwane Medal,3,Earth Sciences,faculty,faculty,,10,N,N,assistant and associate professors,high,3.0,3.0,AGU: 'The nominee must be an early career scientist within 10 years of receiving their Ph.D. or highest equivalent terminal degree'.,https://www.agu.org/honors/macelwane
Wayne B. Nottingham Prize,3,Physics,student,student,,,Y,N,PhD students,high,1.0,1.0,"Best student paper at the Physical Electronics Conference: ""a paper based on a Ph.D. thesis whose date of submission is no earlier than one year before the meeting""; authors limited to the student and PhD advisor.",https://pec76.uark.edu/nottingham-prize/
E. W. Beth Dissertation Prize,3,Multidisciplinary,student,student,,1,Y,N,"fresh PhDs, usually postdocs at award time",high,1.0,1.0,"'Ph.D. dissertations concerning a topic in Logic, Language, or Information are eligible for the prize, if the degree was awarded between January 1st and December 31st' of the preceding year; nomination by the supervisor, self-nomination not allowed.",https://www.folli.info/beth2026.shtml
Margaret Mead Award,3,Social Sciences,faculty,faculty,,10,N,N,assistant professors,high,1.0,1.0,SfAA/AAA: for 'early career scholars (no more than 10 years past receipt of their doctorate)'.,https://www.appliedanthro.org/about/awards-prizes/margaret-mead-award
W. Alden Spencer Award,3,Life Sciences and Medicine,unknown,faculty,,,N,N,full professors and HHMI/Janelia investigators (Vosshall: Rockefeller; Jayaraman: Janelia; Maimon: Rockefeller),medium,1.0,1.0,"Given by Columbia's Department of Neuroscience and Kavli Institute ""to an investigator in recognition of outstanding research contributions in Neural Science""; no age, career-stage or time-window rule stated (historically described as honouring young investigators).",https://en.wikipedia.org/wiki/W._Alden_Spencer_Award
Gossen Prize,3,Social Sciences,faculty,faculty,45,,N,N,"full professors (LMU, Bonn, Zurich, Kiel)",high,1.0,1.0,Verein fuer Socialpolitik prize for an economist from the German-speaking area ('Wirtschaftswissenschaftler aus dem deutschen Sprachraum') under 45 who has gained international recognition through publications in leading journals.,https://en.wikipedia.org/wiki/Gossen_Prize
Adolph Lomb Medal,3,Physics,faculty,faculty,,10,N,N,assistant and associate professors,high,1.0,1.0,"Optica: 'Candidates must be within ten (10) years of the completion of their highest degree earned in the year the medal is presented, excluding career breaks'.",https://www.optica.org/get_involved/awards_and_honors/awards/award_descriptions/adolphlomb/
Stampacchia Medal,3,Mathematics,postdoc,faculty,35,,N,N,tenure-track or tenured professors (Colombo: EPFL; Ros-Oton: ICREA/Barcelona; De Philippis: SISSA),high,0.33,0.33,"Reserved for a mathematician who, ""entro la fine dell'anno in cui viene emanato il bando, non abbia compiuto 35 anni"" (has not turned 35 by the end of the year of the call).",https://umi.dm.unibo.it/premi-old/gold-medal-guido-stampacchia/
EMBO Gold Medal,3,Life Sciences and Medicine,faculty,faculty,40,,N,N,"independent group leaders (Bharat, MRC LMB and Bikard, Pasteur 2025)",high,1.0,1.0,Recognises 'remarkable achievements of scientists under the age of 40 in Europe'.,https://www.embo.org/funding/awards-and-fellowships/embo-gold-medal/
Science Innovation Award,3,Earth Sciences,faculty,faculty,,25,N,N,full professors and senior research scientists,high,1.0,1.0,EAG: a mid-career award; 'Candidates must have received a recognized doctorate within 25 years of the first day of the year in which the award is given'.,https://www.eag.org/awards/science-innovation-award/
Dahl–Nygaard Prize Junior Prize,3,Computer Science and Engineering,postdoc,faculty,,7,N,N,assistant and associate professors (Cheung: Berkeley; Miller: CMU; Madsen: Aarhus),high,2.0,2.0,"""No one can be a candidate for the junior prize, if his/her PhD graduation year dates back more than seven years before the year in which the DN junior prize will be awarded"" (parental and sick leave excluded).",https://sites.google.com/aito.org/home/aito-dahl-nygaard/statutes-of-dahl-nygaard
Otto Hahn Medal -- Biological-Medical*,3,Life Sciences and Medicine,student,student,,,Y,N,"fresh PhDs from Max Planck institutes, typically postdocs at award time",high,20.0,10.0,"Max Planck Society medal 'to young researchers for outstanding scientific achievements, mostly in connection with their doctorate' (up to 30 per year across the three MPG sections).",https://www.mpg.de/prizes/otto-hahn-medal
Otto Hahn Medal -- Chemical-Physical-Engineering*,3,Multidisciplinary,student,student,,,Y,N,"fresh PhDs from Max Planck institutes, typically postdocs at award time",high,30.0,10.0,"Max Planck Society: awarded 'to young researchers for outstanding scientific achievements, mostly in connection with their doctorate' (a doctoral-dissertation prize).",https://www.mpg.de/prizes/otto-hahn-medal
Otto Hahn Medal -- Social Sciences-Humanities*,3,Multidisciplinary,student,student,30,,Y,N,"fresh PhDs, mostly postdocs at time of award",high,20.0,10.0,"Dissertation prize of the Max Planck Society: ""Anyone who has completed his or her doctoral thesis before turning 30 may be put forward"", nominated by the MPI director where the doctorate was done.",https://www.mpg.de/279528/otto-hahn-medals-and-groups
Gribov Medal,3,Physics,faculty,faculty,,8,N,N,"assistant professors and staff scientists (Mistlberger, SLAC 2021; Engelhardt, MIT 2023; Eberhardt, Amsterdam 2025)",high,0.5,0.5,EPS High Energy and Particle Physics Division medal in theoretical particle physics or field theory for a researcher with a 'maximum of 8 years - excluding career interruptions - of research experience following the PhD'.,https://eps-hepp.web.cern.ch/eps-hepp/prizes.php
E. H. Moore Research Article Prize,3,Mathematics,faculty,faculty,,,N,Y,full professors,medium,1.0,1.0,AMS: for an outstanding research article in one of the AMS primary research journals 'during the previous six years'; no age or career-stage restriction.,https://en.wikipedia.org/wiki/E._H._Moore_Research_Article_Prize
Maurice Wilkes Award,3,Computer Science and Engineering,faculty,faculty,,,N,N,"associate and full professors, senior industry researchers (Das: Michigan; Wu: Meta; Krishna: Georgia Tech)",high,0.5,0.5,"For ""an outstanding contribution to computer architecture made by an individual whose computer-related professional career (graduate school or full-time employment, whichever began first) started no earlier than January 1st of the year that is 20 years prior to the year of the award"".",https://www.sigarch.org/benefit/awards/acm-sigarch-maurice-wilkes-award/
Luigi G. Napolitano Award,3,Computer Science and Engineering,postdoc,student,30,,N,N,"PhD students (Ho, MIT 2015; Briden, MIT 2022)",high,1.0,0.8,IAF award to a young scientist under 30 years of age who has contributed significantly to space science and presented a first-authored paper at the IAC (discontinued after 2022; succeeded by the IAF Young Pioneer Award).,https://www.iafastro.org/activities/honours-and-awards/iaf-young-pioneer-award/former-luigi-g-napolitano-award.html
LTPP Data Analysis Contest - Challenge Category,3,Computer Science and Engineering,student,mixed,,,Y,N,MS/PhD students in civil engineering with faculty advisors as co-authors,high,1.0,0.6,"FHWA/ASCE guidelines: 'A team shall consist of one to four students at any level (undergraduate and/or graduate), external partners if applicable, and may include the faculty advisor as a contributing author'.",https://infopave.fhwa.dot.gov/InfoPave_Repository/files/2015-2016%20ASCE-LTPP%20Contest%20Guidelines%20UPDATED.pdf
Ribenboim Prize,3,Mathematics,faculty,faculty,,12,N,N,associate professors (Koukoulopoulos: Montreal; Pasten: PUC Chile; Stange: Colorado Boulder),high,0.25,0.25,"For distinguished research in number theory by a mathematician who is Canadian or has close connections to Canadian mathematics; ""Normally, the winner will have received their Ph.D. in the last 12 years"".",https://www.fields.utoronto.ca/programs/scientific/08-09/CNTAX/Ribenboim_Prize.pdf
Kalai Prize,3,Computer Science and Engineering,faculty,faculty,,,N,Y,"full professors (Procaccia, Moulin 2024; Babichenko, Rubinstein 2021)",high,0.5,0.5,"Game Theory Society prize for an article at the interface of game theory and computer science whose 'main results were not published ... 14 or more years before the year of the award'; 'preference will be given to candidates of age 45 or less at the time of the award, but this is not an absolute constraint'.",https://gametheorysociety.org/prize-in-game-theory-and-computer-science-in-honour-of-ehud-kalai/
Presburger Award,3,Computer Science and Engineering,postdoc,faculty,35,6,N,N,assistant professors,high,1.0,1.0,"EATCS: nominees must, by January 1 of the nomination year, be 'at most 35 years old, or having finished their PhD at most 6 years ago' (extensions for leaves per ERC Starting Grant rules).",https://eatcs.org/index.php/presburger
Fröhlich Prize,3,Mathematics,faculty,faculty,,,N,N,full professors (Tisseur: Manchester; Thomas: Imperial; Breuillard: Oxford),high,0.5,0.5,"LMS regulations: awarded only to a mathematician ""who has fewer than 25 years (full time equivalent) of involvement in mathematics at post-doctoral level, allowing for breaks in continuity"", or at an equivalent career stage.",https://www.lms.ac.uk/sites/default/files/inline-files/Frohlich%20Prize%20(updated%202023).pdf
Nerode Prize,3,Mathematics,faculty,faculty,,,N,N,"senior full professors (Courcelle 2022; Bodlaender, Fomin et al. 2024)",high,3.0,3.0,EATCS-IPEC prize 'to a research paper or series of research papers ... published in a recognized refereed journal' in multivariate algorithms and complexity; 'the past restrictions that required a certain number of years before/after the publication of the nominated papers have been removed'; no career-stage restriction.,https://eatcs.org/index.php/nerode-prize
T. S. Ashton Prize,3,Social Sciences,postdoc,mixed,,5,N,N,"PhD students, postdocs and assistant professors",high,0.5,0.5,Economic History Society: the author must satisfy one of 'The author is within five years of receipt of her/his PhD' or 'The author normally has no previous publication in the field of economic and/or social history'.,https://ehs.org.uk/grants-and-prizes/t-s-ashton-prize/
Hausdorff Medal,3,Mathematics,faculty,faculty,,,N,Y,assistant to full professors (Goldberg: Berkeley; Aspero: UEA; Schindler: Munster),high,1.0,1.0,"European Set Theory Society medal for ""the most influential published work in set theory in the last five years""; no age or career-stage restriction.",https://ests.wordpress.com/hausdorff-medal/
New Horizons in Fundamental Physics,3,Physics,faculty,faculty,,12,N,N,"assistant and associate professors and staff scientists (Bakr, Princeton and Haah, Stanford 2025)",high,3.0,3.0,"Breakthrough Prize rules: 'targeted toward early-career researchers'; 'there are no age restrictions'; 'candidates ... will generally be no more than 12 years past their PhD', with exceptions for experimental projects with long lead times.",https://breakthroughprize.org/Rules/1
New Horizons in Mathematics,3,Mathematics,faculty,faculty,,10,N,N,associate and full professors,high,3.0,3.0,"Breakthrough Prize: for 'early-career researchers who have already produced important work'; 'Candidates for the New Horizons Prize should have not held a PhD for more than 10 years at the start of the calendar year in which nominations close', relaxable in exceptional circumstances.",https://breakthroughprize.org/Rules/3
James Clerk Maxwell Medal and Prize,3,Physics,postdoc,faculty,,6,N,N,lecturers and research fellows (Clough: QMUL lecturer; Breuckmann: Bristol lecturer; Schindler: Imperial research fellow),medium,1.0,1.0,"IOP Bronze Early Career medal ""for exceptional early-career contributions to theoretical (including mathematical and computational) physics""; IOP early-career awards are for physicists ""within six years of their PhD graduation date"" (or within ten years of starting physics work without a PhD).",https://www.iop.org/about/awards/bronze-early-career-medals
