field,country,year,n_authors
Agricultural and Biological Sciences,CI,2019,1
Agricultural and Biological Sciences,CI,2020,1
Agricultural and Biological Sciences,CI,2021,1
Agricultural and Biological Sciences,CI,2022,1
Agricultural and Biological Sciences,CI,2023,1
Agricultural and Biological Sciences,CI,2024,1
Agricultural and Biological Sciences,CL,2015,3
Agricultural and Biological Sciences,CL,2016,3
Agricultural and Biological Sciences,CL,2017,3
Agricultural and Biological Sciences,CL,2018,3
Agricultural and Biological Sciences,CL,2019,3
Agricultural and Biological Sciences,CL,2020,3
Agricultural and Biological Sciences,CL,2021,3
Agricultural and Biological Sciences,CL,2022,3
Agricultural and Biological Sciences,CL,2023,3
Agricultural and Biological Sciences,CL,2024,5
Agricultural and Biological Sciences,CM,2020,1
Agricultural and Biological Sciences,CM,2021,1
Agricultural and Biological Sciences,CM,2022,1
Agricultural and Biological Sciences,CM,2023,1
Agricultural and Biological Sciences,CM,2024,1
Agricultural and Biological Sciences,CN,2015,89
Agricultural and Biological Sciences,CN,2016,98
Agricultural and Biological Sciences,CN,2017,113
Agricultural and Biological Sciences,CN,2018,134
Agricultural and Biological Sciences,CN,2019,154
Agricultural and Biological Sciences,CN,2020,187
Agricultural and Biological Sciences,CN,2021,223
Agricultural and Biological Sciences,CN,2022,279
Agricultural and Biological Sciences,CN,2023,322
Agricultural and Biological Sciences,CN,2024,378
Agricultural and Biological Sciences,CNX,2015,98
Agricultural and Biological Sciences,CNX,2016,108
Agricultural and Biological Sciences,CNX,2017,123
Agricultural and Biological Sciences,CNX,2018,145
Agricultural and Biological Sciences,CNX,2019,164
Agricultural and Biological Sciences,CNX,2020,198
Agricultural and Biological Sciences,CNX,2021,234
Agricultural and Biological Sciences,CNX,2022,291
Agricultural and Biological Sciences,CNX,2023,335
Agricultural and Biological Sciences,CNX,2024,393
Agricultural and Biological Sciences,CO,2015,7
Agricultural and Biological Sciences,CO,2016,7
Agricultural and Biological Sciences,CO,2017,7
Agricultural and Biological Sciences,CO,2018,8
Agricultural and Biological Sciences,CO,2019,8
Agricultural and Biological Sciences,CO,2020,8
Agricultural and Biological Sciences,CO,2021,9
Agricultural and Biological Sciences,CO,2022,9
Agricultural and Biological Sciences,CO,2023,8
Agricultural and Biological Sciences,CO,2024,8
Agricultural and Biological Sciences,CR,2015,2
Agricultural and Biological Sciences,CR,2016,3
Agricultural and Biological Sciences,CR,2017,3
Agricultural and Biological Sciences,CR,2018,3
Agricultural and Biological Sciences,CR,2019,3
Agricultural and Biological Sciences,CR,2020,2
Agricultural and Biological Sciences,CR,2021,2
Agricultural and Biological Sciences,CR,2022,2
Agricultural and Biological Sciences,CR,2023,2
Agricultural and Biological Sciences,CR,2024,3
Agricultural and Biological Sciences,CU,2015,1
Agricultural and Biological Sciences,CU,2016,1
Agricultural and Biological Sciences,CU,2017,1
Agricultural and Biological Sciences,CU,2018,1
Agricultural and Biological Sciences,CU,2019,1
Agricultural and Biological Sciences,CU,2020,1
Agricultural and Biological Sciences,CU,2021,1
Agricultural and Biological Sciences,CY,2015,1
Agricultural and Biological Sciences,CY,2016,1
Agricultural and Biological Sciences,CY,2017,1
Agricultural and Biological Sciences,CY,2018,1
Agricultural and Biological Sciences,CY,2019,1
Agricultural and Biological Sciences,CY,2020,1
Agricultural and Biological Sciences,CY,2021,1
Agricultural and Biological Sciences,CY,2022,1
Agricultural and Biological Sciences,CY,2023,1
Agricultural and Biological Sciences,CY,2024,2
Agricultural and Biological Sciences,CZ,2015,40
Agricultural and Biological Sciences,CZ,2016,39
Agricultural and Biological Sciences,CZ,2017,39
Agricultural and Biological Sciences,CZ,2018,38
Agricultural and Biological Sciences,CZ,2019,36
Agricultural and Biological Sciences,CZ,2020,36
Agricultural and Biological Sciences,CZ,2021,37
Agricultural and Biological Sciences,CZ,2022,41
Agricultural and Biological Sciences,CZ,2023,42
Agricultural and Biological Sciences,CZ,2024,43
Agricultural and Biological Sciences,DE,2015,300
Agricultural and Biological Sciences,DE,2016,305
Agricultural and Biological Sciences,DE,2017,306
Agricultural and Biological Sciences,DE,2018,313
Agricultural and Biological Sciences,DE,2019,311
Agricultural and Biological Sciences,DE,2020,321
Agricultural and Biological Sciences,DE,2021,324
Agricultural and Biological Sciences,DE,2022,326
Agricultural and Biological Sciences,DE,2023,318
Agricultural and Biological Sciences,DE,2024,312
Agricultural and Biological Sciences,DK,2015,43
Agricultural and Biological Sciences,DK,2016,44
Agricultural and Biological Sciences,DK,2017,44
Agricultural and Biological Sciences,DK,2018,46
Agricultural and Biological Sciences,DK,2019,50
Agricultural and Biological Sciences,DK,2020,51
Agricultural and Biological Sciences,DK,2021,54
Agricultural and Biological Sciences,DK,2022,50
Agricultural and Biological Sciences,DK,2023,51
Agricultural and Biological Sciences,DK,2024,49
Agricultural and Biological Sciences,DZ,2019,1
Agricultural and Biological Sciences,DZ,2020,1
Agricultural and Biological Sciences,DZ,2021,1
Agricultural and Biological Sciences,DZ,2022,1
Agricultural and Biological Sciences,DZ,2023,1
Agricultural and Biological Sciences,DZ,2024,1
Agricultural and Biological Sciences,EC,2018,1
Agricultural and Biological Sciences,EC,2019,1
Agricultural and Biological Sciences,EC,2020,1
Agricultural and Biological Sciences,EC,2021,2
Agricultural and Biological Sciences,EC,2022,2
Agricultural and Biological Sciences,EC,2023,2
Agricultural and Biological Sciences,EC,2024,2
Agricultural and Biological Sciences,EE,2015,3
Agricultural and Biological Sciences,EE,2016,3
Agricultural and Biological Sciences,EE,2017,4
Agricultural and Biological Sciences,EE,2018,5
Agricultural and Biological Sciences,EE,2019,5
Agricultural and Biological Sciences,EE,2020,7
Agricultural and Biological Sciences,EE,2021,7
Agricultural and Biological Sciences,EE,2022,7
Agricultural and Biological Sciences,EE,2023,8
Agricultural and Biological Sciences,EE,2024,7
Agricultural and Biological Sciences,EG,2015,2
Agricultural and Biological Sciences,EG,2016,2
Agricultural and Biological Sciences,EG,2017,2
Agricultural and Biological Sciences,EG,2018,2
Agricultural and Biological Sciences,EG,2019,2
Agricultural and Biological Sciences,EG,2020,2
Agricultural and Biological Sciences,EG,2021,2
Agricultural and Biological Sciences,EG,2022,5
Agricultural and Biological Sciences,EG,2023,7
Agricultural and Biological Sciences,EG,2024,8
Agricultural and Biological Sciences,ES,2015,109
Agricultural and Biological Sciences,ES,2016,115
Agricultural and Biological Sciences,ES,2017,116
Agricultural and Biological Sciences,ES,2018,116
Agricultural and Biological Sciences,ES,2019,123
Agricultural and Biological Sciences,ES,2020,129
Agricultural and Biological Sciences,ES,2021,136
Agricultural and Biological Sciences,ES,2022,142
Agricultural and Biological Sciences,ES,2023,145
Agricultural and Biological Sciences,ES,2024,148
Agricultural and Biological Sciences,ET,2015,1
Agricultural and Biological Sciences,ET,2016,1
Agricultural and Biological Sciences,ET,2017,1
Agricultural and Biological Sciences,ET,2018,1
Agricultural and Biological Sciences,ET,2019,1
Agricultural and Biological Sciences,ET,2020,1
Agricultural and Biological Sciences,ET,2021,1
Agricultural and Biological Sciences,ET,2022,1
Agricultural and Biological Sciences,ET,2023,2
Agricultural and Biological Sciences,ET,2024,2
Agricultural and Biological Sciences,FI,2015,27
Agricultural and Biological Sciences,FI,2016,28
Agricultural and Biological Sciences,FI,2017,27
Agricultural and Biological Sciences,FI,2018,30
Agricultural and Biological Sciences,FI,2019,29
Agricultural and Biological Sciences,FI,2020,30
Agricultural and Biological Sciences,FI,2021,29
Agricultural and Biological Sciences,FI,2022,29
Agricultural and Biological Sciences,FI,2023,29
Agricultural and Biological Sciences,FI,2024,28
Agricultural and Biological Sciences,FJ,2020,1
Agricultural and Biological Sciences,FJ,2021,1
Agricultural and Biological Sciences,FJ,2022,1
Agricultural and Biological Sciences,FR,2015,167
Agricultural and Biological Sciences,FR,2016,168
Agricultural and Biological Sciences,FR,2017,169
Agricultural and Biological Sciences,FR,2018,167
Agricultural and Biological Sciences,FR,2019,173
Agricultural and Biological Sciences,FR,2020,171
Agricultural and Biological Sciences,FR,2021,170
Agricultural and Biological Sciences,FR,2022,169
Agricultural and Biological Sciences,FR,2023,161
Agricultural and Biological Sciences,FR,2024,168
Agricultural and Biological Sciences,GB,2015,690
Agricultural and Biological Sciences,GB,2016,684
Agricultural and Biological Sciences,GB,2017,678
Agricultural and Biological Sciences,GB,2018,671
Agricultural and Biological Sciences,GB,2019,664
Agricultural and Biological Sciences,GB,2020,643
Agricultural and Biological Sciences,GB,2021,628
Agricultural and Biological Sciences,GB,2022,596
Agricultural and Biological Sciences,GB,2023,580
Agricultural and Biological Sciences,GB,2024,563
Agricultural and Biological Sciences,GE,2020,2
Agricultural and Biological Sciences,GE,2021,2
Agricultural and Biological Sciences,GE,2022,2
Agricultural and Biological Sciences,GE,2023,2
Agricultural and Biological Sciences,GE,2024,3
Agricultural and Biological Sciences,GH,2015,2
Agricultural and Biological Sciences,GH,2016,2
Agricultural and Biological Sciences,GH,2017,2
Agricultural and Biological Sciences,GH,2018,2
Agricultural and Biological Sciences,GH,2019,2
Agricultural and Biological Sciences,GH,2020,2
Agricultural and Biological Sciences,GH,2021,2
Agricultural and Biological Sciences,GH,2022,3
Agricultural and Biological Sciences,GH,2023,1
Agricultural and Biological Sciences,GH,2024,1
Agricultural and Biological Sciences,GP,2015,1
Agricultural and Biological Sciences,GR,2015,5
Agricultural and Biological Sciences,GR,2016,6
Agricultural and Biological Sciences,GR,2017,6
Agricultural and Biological Sciences,GR,2018,7
Agricultural and Biological Sciences,GR,2019,7
Agricultural and Biological Sciences,GR,2020,8
Agricultural and Biological Sciences,GR,2021,10
Agricultural and Biological Sciences,GR,2022,11
Agricultural and Biological Sciences,GR,2023,9
Agricultural and Biological Sciences,GR,2024,11
Agricultural and Biological Sciences,GT,2015,1
Agricultural and Biological Sciences,GW,2015,1
Agricultural and Biological Sciences,GW,2016,1
Agricultural and Biological Sciences,GW,2017,1
Agricultural and Biological Sciences,GW,2018,1
Agricultural and Biological Sciences,GW,2019,1
Agricultural and Biological Sciences,GW,2020,1
Agricultural and Biological Sciences,GW,2021,1
Agricultural and Biological Sciences,GW,2022,1
Agricultural and Biological Sciences,GW,2023,1
Agricultural and Biological Sciences,HK,2015,4
Agricultural and Biological Sciences,HK,2016,5
Agricultural and Biological Sciences,HK,2017,5
Agricultural and Biological Sciences,HK,2018,6
Agricultural and Biological Sciences,HK,2019,7
Agricultural and Biological Sciences,HK,2020,9
Agricultural and Biological Sciences,HK,2021,10
Agricultural and Biological Sciences,HK,2022,11
Agricultural and Biological Sciences,HK,2023,11
Agricultural and Biological Sciences,HK,2024,11
Agricultural and Biological Sciences,HR,2015,2
Agricultural and Biological Sciences,HR,2016,2
Agricultural and Biological Sciences,HR,2017,1
Agricultural and Biological Sciences,HR,2018,1
Agricultural and Biological Sciences,HR,2019,1
Agricultural and Biological Sciences,HR,2020,2
Agricultural and Biological Sciences,HR,2021,3
Agricultural and Biological Sciences,HR,2022,3
Agricultural and Biological Sciences,HR,2023,3
Agricultural and Biological Sciences,HR,2024,3
Agricultural and Biological Sciences,HU,2015,25
Agricultural and Biological Sciences,HU,2016,26
Agricultural and Biological Sciences,HU,2017,23
Agricultural and Biological Sciences,HU,2018,23
Agricultural and Biological Sciences,HU,2019,21
Agricultural and Biological Sciences,HU,2020,21
Agricultural and Biological Sciences,HU,2021,20
Agricultural and Biological Sciences,HU,2022,21
Agricultural and Biological Sciences,HU,2023,17
Agricultural and Biological Sciences,HU,2024,20
Agricultural and Biological Sciences,ID,2015,1
Agricultural and Biological Sciences,ID,2016,1
Agricultural and Biological Sciences,ID,2017,1
Agricultural and Biological Sciences,ID,2018,2
Agricultural and Biological Sciences,ID,2019,2
Agricultural and Biological Sciences,ID,2020,1
Agricultural and Biological Sciences,ID,2021,1
Agricultural and Biological Sciences,ID,2022,1
Agricultural and Biological Sciences,ID,2023,1
Agricultural and Biological Sciences,ID,2024,1
Agricultural and Biological Sciences,IE,2015,38
Agricultural and Biological Sciences,IE,2016,36
Agricultural and Biological Sciences,IE,2017,35
Agricultural and Biological Sciences,IE,2018,32
Agricultural and Biological Sciences,IE,2019,33
Agricultural and Biological Sciences,IE,2020,34
Agricultural and Biological Sciences,IE,2021,33
Agricultural and Biological Sciences,IE,2022,36
Agricultural and Biological Sciences,IE,2023,36
Agricultural and Biological Sciences,IE,2024,37
Agricultural and Biological Sciences,IL,2015,39
Agricultural and Biological Sciences,IL,2016,39
Agricultural and Biological Sciences,IL,2017,37
Agricultural and Biological Sciences,IL,2018,38
Agricultural and Biological Sciences,IL,2019,38
Agricultural and Biological Sciences,IL,2020,37
Agricultural and Biological Sciences,IL,2021,36
Agricultural and Biological Sciences,IL,2022,35
Agricultural and Biological Sciences,IL,2023,34
Agricultural and Biological Sciences,IL,2024,34
Agricultural and Biological Sciences,IN,2015,34
Agricultural and Biological Sciences,IN,2016,39
Agricultural and Biological Sciences,IN,2017,43
Agricultural and Biological Sciences,IN,2018,48
Agricultural and Biological Sciences,IN,2019,49
Agricultural and Biological Sciences,IN,2020,53
Agricultural and Biological Sciences,IN,2021,60
Agricultural and Biological Sciences,IN,2022,73
Agricultural and Biological Sciences,IN,2023,83
Agricultural and Biological Sciences,IN,2024,91
Agricultural and Biological Sciences,IQ,2021,1
Agricultural and Biological Sciences,IQ,2022,1
Agricultural and Biological Sciences,IQ,2023,1
Agricultural and Biological Sciences,IQ,2024,1
Agricultural and Biological Sciences,IR,2019,1
Agricultural and Biological Sciences,IR,2020,1
Agricultural and Biological Sciences,IR,2021,2
Agricultural and Biological Sciences,IR,2022,7
Agricultural and Biological Sciences,IR,2023,8
Agricultural and Biological Sciences,IR,2024,10
Agricultural and Biological Sciences,IS,2015,1
Agricultural and Biological Sciences,IS,2016,1
Agricultural and Biological Sciences,IS,2017,1
Agricultural and Biological Sciences,IS,2018,1
Agricultural and Biological Sciences,IS,2019,1
Agricultural and Biological Sciences,IS,2020,1
Agricultural and Biological Sciences,IS,2021,1
Agricultural and Biological Sciences,IS,2022,1
Agricultural and Biological Sciences,IS,2023,1
Agricultural and Biological Sciences,IS,2024,1
Agricultural and Biological Sciences,IT,2015,73
Agricultural and Biological Sciences,IT,2016,73
Agricultural and Biological Sciences,IT,2017,72
Agricultural and Biological Sciences,IT,2018,72
Agricultural and Biological Sciences,IT,2019,76
Agricultural and Biological Sciences,IT,2020,80
Agricultural and Biological Sciences,IT,2021,84
Agricultural and Biological Sciences,IT,2022,89
Agricultural and Biological Sciences,IT,2023,93
Agricultural and Biological Sciences,IT,2024,98
Agricultural and Biological Sciences,JP,2015,184
Agricultural and Biological Sciences,JP,2016,181
Agricultural and Biological Sciences,JP,2017,183
Agricultural and Biological Sciences,JP,2018,178
Agricultural and Biological Sciences,JP,2019,177
Agricultural and Biological Sciences,JP,2020,173
Agricultural and Biological Sciences,JP,2021,165
Agricultural and Biological Sciences,JP,2022,162
Agricultural and Biological Sciences,JP,2023,158
Agricultural and Biological Sciences,JP,2024,154
Agricultural and Biological Sciences,KE,2015,11
Agricultural and Biological Sciences,KE,2016,10
Agricultural and Biological Sciences,KE,2017,12
Agricultural and Biological Sciences,KE,2018,13
Agricultural and Biological Sciences,KE,2019,14
Agricultural and Biological Sciences,KE,2020,15
Agricultural and Biological Sciences,KE,2021,16
Agricultural and Biological Sciences,KE,2022,16
Agricultural and Biological Sciences,KE,2023,19
Agricultural and Biological Sciences,KE,2024,19
Agricultural and Biological Sciences,KH,2015,1
Agricultural and Biological Sciences,KH,2016,1
Agricultural and Biological Sciences,KH,2017,1
Agricultural and Biological Sciences,KH,2018,1
Agricultural and Biological Sciences,KH,2019,1
Agricultural and Biological Sciences,KN,2020,1
Agricultural and Biological Sciences,KN,2021,1
Agricultural and Biological Sciences,KN,2022,1
Agricultural and Biological Sciences,KN,2023,1
Agricultural and Biological Sciences,KN,2024,1
Agricultural and Biological Sciences,KR,2015,26
Agricultural and Biological Sciences,KR,2016,26
Agricultural and Biological Sciences,KR,2017,27
Agricultural and Biological Sciences,KR,2018,31
Agricultural and Biological Sciences,KR,2019,32
Agricultural and Biological Sciences,KR,2020,36
Agricultural and Biological Sciences,KR,2021,38
Agricultural and Biological Sciences,KR,2022,38
Agricultural and Biological Sciences,KR,2023,46
Agricultural and Biological Sciences,KR,2024,49
Agricultural and Biological Sciences,KW,2023,1
Agricultural and Biological Sciences,KW,2024,1
Agricultural and Biological Sciences,KZ,2015,1
Agricultural and Biological Sciences,KZ,2016,1
Agricultural and Biological Sciences,KZ,2017,1
Agricultural and Biological Sciences,LB,2020,1
Agricultural and Biological Sciences,LB,2021,1
Agricultural and Biological Sciences,LB,2022,1
Agricultural and Biological Sciences,LB,2023,1
Agricultural and Biological Sciences,LB,2024,1
Agricultural and Biological Sciences,LK,2015,2
Agricultural and Biological Sciences,LK,2016,2
Agricultural and Biological Sciences,LK,2017,2
Agricultural and Biological Sciences,LK,2018,2
Agricultural and Biological Sciences,LK,2019,2
Agricultural and Biological Sciences,LK,2020,2
Agricultural and Biological Sciences,LK,2021,2
Agricultural and Biological Sciences,LK,2022,4
Agricultural and Biological Sciences,LK,2023,4
Agricultural and Biological Sciences,LK,2024,4
Agricultural and Biological Sciences,LT,2022,1
Agricultural and Biological Sciences,LT,2023,1
Agricultural and Biological Sciences,LT,2024,1
Agricultural and Biological Sciences,LU,2021,1
Agricultural and Biological Sciences,LU,2022,1
Agricultural and Biological Sciences,LU,2023,1
Agricultural and Biological Sciences,LU,2024,1
Agricultural and Biological Sciences,LV,2019,1
Agricultural and Biological Sciences,LV,2020,1
Agricultural and Biological Sciences,LV,2021,1
Agricultural and Biological Sciences,LV,2023,1
Agricultural and Biological Sciences,LV,2024,1
Agricultural and Biological Sciences,MA,2015,27
Agricultural and Biological Sciences,MA,2016,26
Agricultural and Biological Sciences,MA,2017,28
Agricultural and Biological Sciences,MA,2018,28
Agricultural and Biological Sciences,MA,2019,30
Agricultural and Biological Sciences,MA,2020,29
Agricultural and Biological Sciences,MA,2021,28
Agricultural and Biological Sciences,MA,2022,22
Agricultural and Biological Sciences,MA,2023,21
Agricultural and Biological Sciences,MA,2024,22
Agricultural and Biological Sciences,ML,2015,4
Agricultural and Biological Sciences,ML,2016,4
Agricultural and Biological Sciences,ML,2017,4
Agricultural and Biological Sciences,ML,2018,4
Agricultural and Biological Sciences,ML,2019,4
Agricultural and Biological Sciences,ML,2020,4
Agricultural and Biological Sciences,ML,2021,5
Agricultural and Biological Sciences,ML,2022,4
Agricultural and Biological Sciences,ML,2023,4
Agricultural and Biological Sciences,ML,2024,3
Agricultural and Biological Sciences,MU,2023,1
Agricultural and Biological Sciences,MU,2024,1
Agricultural and Biological Sciences,MW,2020,1
Agricultural and Biological Sciences,MW,2021,1
Agricultural and Biological Sciences,MW,2022,1
Agricultural and Biological Sciences,MW,2023,1
Agricultural and Biological Sciences,MW,2024,1
Agricultural and Biological Sciences,MX,2015,26
Agricultural and Biological Sciences,MX,2016,29
Agricultural and Biological Sciences,MX,2017,30
Agricultural and Biological Sciences,MX,2018,33
Agricultural and Biological Sciences,MX,2019,32
Agricultural and Biological Sciences,MX,2020,33
Agricultural and Biological Sciences,MX,2021,34
Agricultural and Biological Sciences,MX,2022,33
Agricultural and Biological Sciences,MX,2023,34
Agricultural and Biological Sciences,MX,2024,34
Agricultural and Biological Sciences,MY,2015,3
Agricultural and Biological Sciences,MY,2016,2
Agricultural and Biological Sciences,MY,2017,4
Agricultural and Biological Sciences,MY,2018,4
Agricultural and Biological Sciences,MY,2019,5
Agricultural and Biological Sciences,MY,2020,6
Agricultural and Biological Sciences,MY,2021,6
Agricultural and Biological Sciences,MY,2022,7
Agricultural and Biological Sciences,MY,2023,9
Agricultural and Biological Sciences,MY,2024,11
Agricultural and Biological Sciences,NE,2015,1
Agricultural and Biological Sciences,NE,2016,1
Agricultural and Biological Sciences,NE,2017,1
Agricultural and Biological Sciences,NG,2015,3
Agricultural and Biological Sciences,NG,2016,3
Agricultural and Biological Sciences,NG,2017,3
Agricultural and Biological Sciences,NG,2018,3
Agricultural and Biological Sciences,NG,2019,3
Agricultural and Biological Sciences,NG,2020,4
Agricultural and Biological Sciences,NG,2021,4
Agricultural and Biological Sciences,NG,2022,4
Agricultural and Biological Sciences,NG,2023,3
Agricultural and Biological Sciences,NG,2024,3
Agricultural and Biological Sciences,NL,2015,155
Agricultural and Biological Sciences,NL,2016,157
Agricultural and Biological Sciences,NL,2017,159
Agricultural and Biological Sciences,NL,2018,165
Agricultural and Biological Sciences,NL,2019,163
Agricultural and Biological Sciences,NL,2020,163
Agricultural and Biological Sciences,NL,2021,166
Agricultural and Biological Sciences,NL,2022,163
Agricultural and Biological Sciences,NL,2023,166
Agricultural and Biological Sciences,NL,2024,167
Agricultural and Biological Sciences,NO,2015,24
Agricultural and Biological Sciences,NO,2016,25
Agricultural and Biological Sciences,NO,2017,25
Agricultural and Biological Sciences,NO,2018,24
Agricultural and Biological Sciences,NO,2019,24
Agricultural and Biological Sciences,NO,2020,25
Agricultural and Biological Sciences,NO,2021,25
Agricultural and Biological Sciences,NO,2022,25
Agricultural and Biological Sciences,NO,2023,24
Agricultural and Biological Sciences,NO,2024,23
Agricultural and Biological Sciences,NP,2015,4
Agricultural and Biological Sciences,NP,2016,4
Agricultural and Biological Sciences,NP,2017,4
Agricultural and Biological Sciences,NP,2018,5
Agricultural and Biological Sciences,NP,2019,5
Agricultural and Biological Sciences,NP,2020,4
Agricultural and Biological Sciences,NP,2021,4
Agricultural and Biological Sciences,NP,2022,3
Agricultural and Biological Sciences,NP,2023,2
Agricultural and Biological Sciences,NP,2024,2
Agricultural and Biological Sciences,NZ,2015,56
Agricultural and Biological Sciences,NZ,2016,57
Agricultural and Biological Sciences,NZ,2017,55
Agricultural and Biological Sciences,NZ,2018,53
Agricultural and Biological Sciences,NZ,2019,50
Agricultural and Biological Sciences,NZ,2020,47
Agricultural and Biological Sciences,NZ,2021,48
Agricultural and Biological Sciences,NZ,2022,47
Agricultural and Biological Sciences,NZ,2023,45
Agricultural and Biological Sciences,NZ,2024,45
Agricultural and Biological Sciences,OM,2018,1
Agricultural and Biological Sciences,OM,2019,1
Agricultural and Biological Sciences,OM,2020,2
